time,open,high,low,close,Shape Stoch Cross Bull,Shape Stoch Cross Bear,Stoch Cross Bull,Stoch Cross Bear,Stoch Cross,EMA21,EMA55,EMA200,Volume,BBWP,Extreme Hi,Extreme Lo,MA 1,MA 2,%K,%D,RSI,RSI EMA,Positive Regular Div,Negative Regular Div,Positive Hidden Div,Negative Hidden Div
1438905600,3,3.00001,3,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1438992000,3,3,0.15,1.19999,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1439251200,0.79969,1.15,0.65038,0.99,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1439337600,1,1.288,0.905,1.288,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1439424000,1.2628,1.8848,1.2628,1.8848,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1439510400,1.88345,2.1,1.79489,1.79489,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1439596800,1.7,1.79,1.5,1.79,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1439683200,1.65,1.65,0.5,1.5893,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1439769600,1.50539,1.58,1.25,1.29638,0,0,0,0,0,NaN,NaN,NaN,NaN,87.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1439856000,1.15,1.36163,0.98998,1.10001,0,0,0,0,0,NaN,NaN,NaN,NaN,88.88888888888889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1439942400,1.10001,1.24,1.10001,1.24,0,0,0,0,0,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1440028800,1.3,1.5218,1.3,1.5218,0,0,0,0,0,NaN,NaN,NaN,NaN,63.63636363636363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1440115200,1.45061,1.53,1.43588,1.43588,0,0,0,0,0,NaN,NaN,NaN,NaN,58.333333333333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1440201600,1.41,1.41,1.4,1.4,0,0,0,0,0,NaN,NaN,NaN,NaN,53.84615384615385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1440288000,1.35,1.35002,1.31,1.35,0,0,0,0,0,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,30.738610098104687,NaN,0,0,0,0
