
=== Target Sell Zone (2021-05-10 to 2022-04-12) ===
Date         | Close    | RSI    | EMA200   | Ext%   | Stoch Bear
--------------------------------------------------------------------------------
2021-05-10   | 3950.69  | 81.12  | 1627.17  | 142.80 |           
2021-05-11   | 4179.24  | 83.54  | 1652.56  | 152.89 |           
2021-05-12   | 3830.64  | 69.05  | 1674.24  | 128.80 | YES       
2021-05-13   | 3719.48  | 65.17  | 1694.59  | 119.49 |           
2021-05-14   | 4080.66  | 70.89  | 1718.33  | 137.48 |           
2021-05-15   | 3647.79  | 58.48  | 1737.53  | 109.94 |           
2021-05-16   | 3584.81  | 56.92  | 1755.91  | 104.16 |           
2021-05-17   | 3283.10  | 50.03  | 1771.11  | 85.37  |           
2021-05-18   | 3378.74  | 52.02  | 1787.10  | 89.06  |           
2021-05-19   | 2444.76  | 36.70  | 1793.65  | 36.30  |           
2021-05-20   | 2774.64  | 43.08  | 1803.41  | 53.86  |           
2021-05-21   | 2434.75  | 38.75  | 1809.69  | 34.54  |           
2021-05-22   | 2297.01  | 37.12  | 1814.54  | 26.59  |           
2021-05-23   | 2098.76  | 34.85  | 1817.37  | 15.48  |           
2021-05-24   | 2650.38  | 44.94  | 1825.65  | 45.17  |           
2021-05-25   | 2707.24  | 45.87  | 1834.43  | 47.58  |           
2021-05-26   | 2888.97  | 48.84  | 1844.92  | 56.59  |           
2021-05-27   | 2742.48  | 46.62  | 1853.85  | 47.93  |           
2021-05-28   | 2412.37  | 41.98  | 1859.41  | 29.74  |           
2021-05-29   | 2279.64  | 40.24  | 1863.59  | 22.33  |           
2021-05-30   | 2388.39  | 42.35  | 1868.81  | 27.80  | YES       
2021-05-31   | 2707.22  | 48.11  | 1877.15  | 44.22  |           
2021-06-01   | 2634.30  | 46.95  | 1884.69  | 39.77  |           
2021-06-02   | 2706.80  | 48.28  | 1892.87  | 43.00  |           
2021-06-03   | 2855.97  | 51.01  | 1902.45  | 50.12  |           
2021-06-04   | 2691.65  | 48.01  | 1910.30  | 40.90  |           
2021-06-05   | 2629.34  | 46.88  | 1917.46  | 37.13  |           
2021-06-06   | 2711.49  | 48.59  | 1925.36  | 40.83  |           
2021-06-07   | 2593.38  | 46.29  | 1932.01  | 34.23  |           
2021-06-08   | 2509.06  | 44.65  | 1937.75  | 29.48  |           
2021-06-09   | 2611.01  | 47.08  | 1944.45  | 34.28  |           
2021-06-10   | 2471.11  | 44.22  | 1949.69  | 26.74  |           
2021-06-11   | 2355.14  | 41.94  | 1953.72  | 20.55  | YES       
2021-06-12   | 2369.26  | 42.33  | 1957.86  | 21.01  |           
2021-06-13   | 2509.88  | 46.20  | 1963.35  | 27.84  |           
2021-06-14   | 2582.49  | 48.14  | 1969.51  | 31.12  |           
2021-06-15   | 2543.92  | 47.17  | 1975.22  | 28.79  |           
2021-06-16   | 2367.61  | 42.90  | 1979.13  | 19.63  |           
2021-06-17   | 2372.74  | 43.06  | 1983.05  | 19.65  |           
2021-06-18   | 2232.38  | 39.76  | 1985.53  | 12.43  |           
2021-06-19   | 2165.97  | 38.26  | 1987.32  | 8.99   |           
2021-06-20   | 2243.04  | 41.03  | 1989.87  | 12.72  |           
2021-06-21   | 1886.53  | 33.53  | 1988.84  | -5.14  |           
2021-06-22   | 1880.80  | 33.42  | 1987.76  | -5.38  |           
2021-06-23   | 1968.36  | 36.71  | 1987.57  | -0.97  |           
2021-06-24   | 1986.49  | 37.40  | 1987.56  | -0.05  |           
2021-06-25   | 1810.20  | 33.57  | 1985.79  | -8.84  |           
2021-06-26   | 1829.81  | 34.37  | 1984.24  | -7.78  | YES       
2021-06-27   | 1983.72  | 40.47  | 1984.24  | -0.03  |           
2021-06-28   | 2084.01  | 44.11  | 1985.23  | 4.98   |           
2021-06-29   | 2164.82  | 46.93  | 1987.02  | 8.95   |           
2021-06-30   | 2276.97  | 50.65  | 1989.90  | 14.43  |           
